,,1,2,3,4,5,6,7,8,,,,2.449489743
0.50800002,0,0.484,0.5,0.46799999,0.54400003,0.53200001,0.51599997,0.49599999,0.44800001,0.44800001,0.49288889,0,0.032429222
0.98000002,0,0.95200002,0.95200002,0.95200002,0.95599997,0.95599997,0.95200002,0.94800001,0.94800001,0.94800001,0.951555561,0,0.002948098
0.02,0,0.064,0.08,0.076,0.08,0.076,0.064,0.076,0.08,0.064,0.073333333,0,0.006798693
0.292,0,0.368,0.36399999,0.38800001,0.39199999,0.40400001,0.41999999,0.428,0.43200001,0.36399999,0.395555554,0,0.025539129
0.884,0,0.72799999,0.736,0.72799999,0.73199999,0.71200001,0.69199997,0.68000001,0.71200001,0.68000001,0.711111109,0,0.020893613
0.68800002,0,0.528,0.528,0.53600001,0.50800002,0.52399999,0.51200002,0.54400003,0.528,0.50800002,0.52400001,0,0.01177568
0.104,0,0.30000001,0.308,0.324,0.32800001,0.35600001,0.38,0.33199999,0.38,0.30000001,0.334222226,0,0.029521281
0.352,0,0.51999998,0.54400003,0.52399999,0.50800002,0.51599997,0.49599999,0.50800002,0.5,0.49599999,0.512444443,0,0.014659937
0.51200002,0,0.51599997,0.48800001,0.51599997,0.53600001,0.51999998,0.484,0.46399999,0.49599999,0.46399999,0.498222212,0,0.024008227
0.97600001,0,0.96799999,0.96799999,0.972,0.96799999,0.972,0.972,0.972,0.96799999,0.96799999,0.969777772,0,0.001987621
0.02,0,0.076,0.056,0.052,0.048,0.052,0.048,0.056,0.06,0.048,0.055111111,0,0.008385761
0.296,0,0.428,0.41600001,0.41600001,0.41999999,0.42399999,0.41600001,0.40799999,0.39199999,0.39199999,0.412444442,0,0.012139115
0.89600003,0,0.74400002,0.74800003,0.736,0.72000003,0.72799999,0.72000003,0.72399998,0.72399998,0.72000003,0.729333343,0,0.010154367
0.68000001,0,0.53200001,0.53200001,0.54000002,0.50800002,0.53600001,0.54400003,0.54400003,0.55199999,0.50800002,0.532888904,0,0.014578859
0.112,0,0.248,0.28799999,0.324,0.31200001,0.31200001,0.31200001,0.30000001,0.31600001,0.248,0.29555556,0,0.027158432
0.352,0,0.5,0.49599999,0.51599997,0.484,0.49200001,0.50800002,0.5,0.49599999,0.484,0.497333331,0,0.009797955
0.528,0,0.45199999,0.44400001,0.49200001,0.54000002,0.51999998,0.47999999,0.54400003,0.49200001,0.44400001,0.489777783,0,0.036665998
0.972,0,0.97600001,0.972,0.97600001,0.97600001,0.972,0.95999998,0.95200002,0.95200002,0.95200002,0.965333341,0,0.010498673
0.028,0,0.044,0.048,0.048,0.044,0.044,0.052,0.072,0.08,0.044,0.052888889,0,0.012757956
0.30000001,0,0.38800001,0.384,0.38800001,0.38800001,0.38800001,0.39199999,0.40400001,0.396,0.384,0.390222227,0,0.005995884
0.88800001,0,0.736,0.736,0.73199999,0.73199999,0.72799999,0.72000003,0.71600002,0.72000003,0.71600002,0.72622223,0,0.007799955
0.69199997,0,0.55599999,0.57999998,0.56800002,0.57200003,0.57200003,0.588,0.588,0.59200001,0.55599999,0.574666672,0,0.012649112
0.112,0,0.248,0.27200001,0.26800001,0.26800001,0.25999999,0.264,0.28,0.252,0.248,0.262222224,0,0.010517478
0.34,0,0.51200002,0.49599999,0.5,0.47999999,0.48800001,0.49200001,0.46399999,0.472,0.46399999,0.485333333,0,0.015663127
0.52399999,0,0.472,0.47600001,0.50800002,0.51599997,0.51200002,0.49599999,0.53200001,0.51200002,0.472,0.49955556,0,0.020521595
0.96799999,0,0.98000002,0.97600001,0.97600001,0.96799999,0.96799999,0.972,0.97600001,0.97600001,0.96799999,0.973333337,0,0.004216381
0.028,0,0.048,0.04,0.044,0.048,0.056,0.064,0.06,0.048,0.04,0.049777778,0,0.008024653
0.308,0,0.38800001,0.38800001,0.40000001,0.412,0.41600001,0.412,0.40000001,0.396,0.38800001,0.400000007,0,0.010498675
0.89200002,0,0.73199999,0.72799999,0.73199999,0.72000003,0.708,0.72399998,0.736,0.73199999,0.708,0.724444441,0,0.009878267
0.68000001,0,0.60799998,0.57599998,0.57200003,0.59600002,0.60799998,0.588,0.57999998,0.57200003,0.57200003,0.585777781,0,0.014124653
0.12,0,0.236,0.248,0.252,0.244,0.23199999,0.212,0.228,0.23999999,0.212,0.233777776,0,0.013611904
